fish	first	second
203 1	0
204 1	0
205 1	0
206 1	0
207 1	0
208 1	0
209 1	0
210 1	0
211 1	0
212 1	0
213 1	0
214 1	0
215 1	0
216 1	0
217 1	1
218 1	1
219 1	0
220 1	0
221 1	0
222 1	0
223 1	0
224 1	1
225 1	0
226 1	0
227 1	0
228 1	0
229 1	0
230 1	0
231 1	0
232 1	0
233 1	0
234 1	1
235 1	0
236 1	1
237 1	0
238 1	0
239 1	0
240 1	0
241 1	0
242 1	0
243 1	0
244 1	0
245 1	0
246 1	0
247 1	0
248 1	0
249 1	0
250 1	0
251 1	0
252 1	0
253 1	0
254 1	0
255 1	0
256 1	0
257 1	1
258 1	1
259 1	1
260 1	0
261 1	0
262 1	0
263 1	0
264 1	0
265 1	0
266 1	0
267 1	0
268 1	1
269 1	0
270 1	0
271 1	0
272 1	0
273 1	0
274 1	0
275 1	0
276 1	0
277 1	0
278 1	0
279 1	0
280 1	0
281 1	1
282 1	0
283 1	1
284 1	0
285 1	0
286 1	0
287 1	0
288 1	0
289 1	0
290 1	0
291 1	0
292 1	0
293 1	1
294 1	1
295 1	1
296 1	1
297 1	1
298 1	0
299 1	0
300 1	1
301 1	0
302 1	0
303 1	0
304 1	0
305 1	1
306 1	0
307 1	0
308 1	0
309 1	0
310 1	1
311 1	0
312 1	0
313 1	0
314 1	1
315 1	0
316 1	0
317 1	0
318 1	0
319 1	0
320 1	1
321 1	0
322 1	0
323 1	0
324 1	1
325 1	0
326 1	1
327 1	0
328 1	1
329 1	0
330 1	0
331 1	1
332 1	1
333 1	0
334 1	0
335 1	0
336 1	0
337 1	0
338 1	0
339 1	0
340 1	0
341 1	0
342 1	0
343 1	0
344 1	1
345 1	0
346 1	0
347 0	1
348 0	1
349 0	1
350 0	1
351 0	1
352 0	1
353 0	1
354 0	1
355 0	1
356 0	1
357 0	1
358 0	1
359 0	1
360 0	1
361 0	1
362 0	1
363 0	1
364 0	1
365 0	1
366 0	1
367 0	1
368 0	1
369 0	1
370 0	1
371 0	1
372 0	1
373 0	1
374 0	1
375 0	1
376 0	1
377 0	1
378 0	1
379 0	1
380 0	1
381 0	1
382 0	1
383 0	1
384 0	1
385 0	1
386 0	1
387 0	1
388 0	1
389 0	1
390 0	1
391 0	1
392 0	1
393 0	1
394 0	1
395 0	1
396 0	1
397 0	1
398 0	1
399 0	1
400 0	1
401 0	1
402 0	1
403 0	1
404 0	1
405 0	1
406 0	1
407 0	1
408 0	1
409 0	1
410 0	1
411 0	1
412 0	1
413 0	1
414 0	1
415 0	1
416 0	1
417 0	1
418 0	1
419 0	1
420 0	1
421 0	1
422 0	1
423 0	1
424 0	1
425 0	1
426 0	1
427 0	1
428 0	1
429 0	1
430 0	1
431 0	1
432 0	1
433 0	1
434 0	1
435 0	1
436 0	1
437 0	1
438 0	1
439 0	1
440 0	1
441 0	1
442 0	1
443 0	1
444 0	1
445 0	1
446 0	1
447 0	1
448 0	1
449 0	1
450 0	1
451 0	1
452 0	1
453 0	1
454 0	1
455 0	1
456 0	1
457 0	1
458 0	1
459 0	1
460 0	1
461 0	1
462 0	1
463 0	1
464 0	1
465 0	1
466 0	1
467 0	1
468 0	1
469 0	1
470 0	1
471 0	1
472 0	1
473 0	1
474 0	1
475 0	1
476 0	1
477 0	1
478 0	1
479 0	1
480 0	1
481 0	1
